Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
_21:383535	  160.9	   86.8	    1.9	  132.6	   2.00	   5.82	   2.04	  -0.81	   0.00	--------	-1	0.00	*
_4:482421	  118.9	   50.4	    2.4	   94.8	   1.99	   7.02	   2.03	  -1.37	   0.00	--------	-1	0.00	*
_2:1096962	  142.9	   63.8	    2.2	  116.4	   1.99	   7.69	   2.03	  -1.12	   0.00	--------	-1	0.00	*
_4:384218	  141.3	   84.4	    1.7	  115.5	   1.99	   4.03	   2.03	  -0.81	   0.00	--------	-1	0.00	*
_10:142530	  154.0	   53.2	    2.9	  126.8	   1.94	  11.90	   1.98	  -0.83	   0.00	--------	-1	0.00	*
_1:1076152	  154.0	   75.4	    2.0	  126.8	   1.94	   6.83	   1.97	  -0.78	   0.00	--------	-1	0.00	*
_15:44852	  121.0	   57.7	    2.1	   97.5	   1.89	   5.84	   1.93	  -0.88	   0.00	--------	-1	0.00	*
_10:320194	  125.9	   75.0	    1.7	  102.1	   1.88	   3.57	   1.92	  -0.81	   0.00	--------	-1	0.00	*
_23:61125	  144.6	   83.0	    1.7	  119.2	   1.88	   4.47	   1.92	  -0.81	   0.00	--------	-1	0.00	*
_4:745561	  118.0	   85.5	    1.4	   94.8	   1.86	   1.90	   2.03	  -1.16	   0.00	--------	-1	0.00	*
_14:49419	  154.0	   48.8	    3.2	  127.6	   1.86	  13.41	   1.90	  -0.92	   0.00	--------	-1	0.00	*
_4:384440	  143.7	   53.1	    2.7	  118.8	   1.83	  10.22	   1.87	  -1.18	   0.00	--------	-1	0.00	*
_5:1019079	  183.2	   99.6	    1.8	  155.4	   1.83	   6.45	   1.86	  -1.12	   0.00	--------	-1	0.00	*
_30:204732	  173.0	   57.7	    3.0	  145.3	   1.82	  14.05	   1.86	  -0.89	   0.00	--------	-1	0.00	*
_1:1475168	  120.0	   26.6	    4.5	   97.2	   1.82	  14.77	   1.86	  -1.12	   0.00	--------	-1	0.00	*
_2:906122	  117.7	   60.1	    2.0	   95.6	   1.79	   4.91	   1.83	  -0.78	   0.00	--------	-1	0.00	*
_11:719693	  164.0	   75.4	    2.2	  137.4	   1.79	   8.17	   1.83	  -0.76	   0.00	--------	-1	0.00	*
_7:670434	  119.4	   76.6	    1.6	   97.6	   1.77	   2.87	   1.80	  -1.08	   0.00	--------	-1	0.00	*
_26:43395	  134.0	   31.0	    4.3	  110.6	   1.74	  15.62	   1.77	  -0.91	   0.00	--------	-1	0.00	*
_16:490640	  143.0	   44.4	    3.2	  119.4	   1.68	  12.67	   1.71	  -0.94	   0.00	--------	-1	0.00	*
_4:678731	  141.5	   76.7	    1.8	  118.5	   1.67	   5.18	   1.71	  -1.22	   0.00	--------	-1	0.00	*
_24:375740	  173.9	  136.3	    1.3	  100.5	   1.65	   1.69	  10.70	  -0.76	   0.00	--------	-1	0.00	*
_21:295524	  156.8	   63.1	    2.5	  132.6	   1.64	   9.78	   1.68	  -0.93	   0.00	--------	-1	0.00	*
_10:693600	  153.0	   57.7	    2.7	  128.9	   1.64	  10.64	   1.67	  -1.04	   0.25	--------	-1	0.00	*
_1:809857	  135.3	   72.9	    1.9	  113.5	   1.63	   5.11	   1.66	  -1.26	   0.00	--------	-1	0.00	*
_14:607540	  137.0	   44.4	    3.1	  114.6	   1.61	  11.58	   1.65	  -0.89	   0.00	--------	-1	0.00	*
_20:211202	  117.4	   38.6	    3.0	   97.7	   1.57	  10.00	   1.60	  -0.99	   0.00	--------	-1	0.00	*
_9:950039	  134.0	  102.0	    1.3	   84.7	   1.56	   1.59	   6.32	  -0.86	   0.00	--------	-1	0.00	*
