Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
_21:301659	  469.0	   88.7	    5.3	  141.6	  59.67	  62.87	 103.51	  -0.57	   0.69	--------	-1	0.00	*
_1:1501267	  428.0	   84.3	    5.1	   92.5	  52.73	  55.63	 140.78	  -0.61	   0.00	--------	-1	0.00	*
_7:789878	  405.9	   75.4	    5.4	   95.2	  52.36	  55.08	 122.50	  -0.76	   0.00	--------	-1	0.00	*
_26:133440	  355.0	   53.2	    6.7	  114.3	  52.37	  54.97	  71.85	  -0.66	   0.43	--------	-1	0.00	*
_21:96599	  525.0	  137.5	    3.8	  138.2	  51.09	  53.59	 138.07	  -0.54	   0.67	--------	-1	0.00	*
_24:172133	  398.0	   75.4	    5.3	   84.7	  50.85	  53.28	 133.05	  -0.65	   0.00	--------	-1	0.00	*
_30:296847	  741.0	  270.5	    2.7	  187.9	  48.26	  50.62	 203.17	  -0.49	   0.50	--------	-1	0.00	*
_1:1127928	  354.0	   62.1	    5.7	  126.1	  47.52	  49.82	  61.41	  -0.79	   0.00	--------	-1	0.00	*
_16:226820	  446.0	  106.4	    4.2	  150.2	  47.49	  49.74	  84.07	  -0.63	   0.46	--------	-1	0.00	*
_8:19351	  362.7	   68.5	    5.3	  109.1	  46.63	  48.83	  80.94	  -0.75	   0.00	--------	-1	0.00	*
_20:298138	  357.0	   66.5	    5.4	   97.7	  46.31	  48.47	  90.01	  -0.70	   0.00	--------	-1	0.00	*
_16:345488	  475.0	  128.6	    3.7	  124.2	  44.92	  47.04	 126.16	  -0.66	   0.25	--------	-1	0.00	*
_9:798896	  506.0	  146.4	    3.5	  120.8	  44.52	  46.61	 149.20	  -0.68	   0.31	--------	-1	0.00	*
_9:247968	  422.0	  106.4	    4.0	  114.2	  42.75	  44.80	 107.53	  -0.68	   0.71	--------	-1	0.00	*
_1:267430	  359.0	   79.8	    4.5	   92.5	  40.81	  42.84	  97.39	  -0.72	   0.23	--------	-1	0.00	*
_4:678294	  296.5	   51.9	    5.7	  117.8	  40.40	  42.39	  43.06	  -0.93	   0.00	--------	-1	0.00	*
_6:670515	  417.0	  110.9	    3.8	  101.2	  40.29	  42.26	 121.04	  -0.55	   0.48	--------	-1	0.00	*
_17:466567	  318.0	   53.2	    6.0	  132.1	  40.27	  46.21	  42.21	  -0.75	   0.13	--------	-1	0.00	*
_33:44660	  391.0	   97.6	    4.0	  130.1	  40.11	  42.04	  75.28	  -0.70	   0.29	--------	-1	0.00	*
_6:122097	  318.0	   62.1	    5.1	  125.3	  39.76	  41.66	  46.56	  -0.80	   0.63	--------	-1	0.00	*
_1:101682	  389.0	   97.6	    4.0	  131.8	  39.75	  41.63	  72.84	  -0.59	   0.68	--------	-1	0.00	*
_4:1341668	  316.0	   62.1	    5.1	   94.8	  39.35	  41.21	  70.78	  -0.91	   0.01	--------	-1	0.00	*
_14:69511	  285.0	   48.8	    5.8	  107.4	  39.35	  41.19	  45.26	  -0.86	   0.00	--------	-1	0.00	*
_9:634593	  315.0	   62.1	    5.1	  116.2	  39.17	  40.99	  51.71	  -0.64	   0.00	--------	-1	0.00	*
_20:225848	  385.0	   97.6	    3.9	  100.6	  39.01	  40.81	 102.64	  -0.86	   0.04	--------	-1	0.00	*
_2:1224550	  292.0	   53.2	    5.5	  108.8	  38.43	  40.22	  47.25	  -0.72	   0.00	--------	-1	0.00	*
_6:634292	  356.0	   84.3	    4.2	  120.2	  38.30	  40.07	  67.15	  -0.62	   0.00	--------	-1	0.00	*
_7:113629	  413.0	  115.3	    3.6	  144.9	  37.88	  39.64	  73.12	  -0.69	   0.42	--------	-1	0.00	*
_15:47010	  371.0	   93.1	    4.0	   97.5	  37.80	  39.54	  98.22	  -0.87	   0.00	--------	-1	0.00	*
_2:143625	  343.0	   79.8	    4.3	   91.7	  37.71	  39.44	  89.06	  -0.66	   0.67	--------	-1	0.00	*
_24:45807	  386.0	  102.0	    3.8	  118.1	  37.39	  39.10	  83.90	  -0.89	   0.00	--------	-1	0.00	*
_23:298247	  306.0	   62.1	    4.9	  100.8	  37.30	  39.00	  60.06	  -0.70	   0.00	--------	-1	0.00	*
_2:283659	  320.0	   71.0	    4.5	   95.3	  36.74	  38.42	  72.40	  -0.66	   0.60	--------	-1	0.00	*
_8:49711	  414.0	  119.7	    3.5	   98.6	  36.75	  38.42	 122.69	  -0.61	   0.31	--------	-1	0.00	*
_27:366902	  354.0	   88.7	    4.0	   93.9	  36.39	  38.04	  92.78	  -0.67	   0.21	--------	-1	0.00	*
_19:98393	  370.0	   97.6	    3.8	  147.8	  36.15	  37.79	  52.64	  -0.68	   0.44	--------	-1	0.00	*
_11:19746	  431.4	  133.0	    3.2	   92.3	  35.79	  37.42	 143.68	  -0.66	   0.00	--------	-1	0.00	*
_14:789596	  417.0	  124.2	    3.4	  120.2	  35.66	  37.28	  98.05	  -0.73	   0.76	--------	-1	0.00	*
_6:522657	  287.4	   58.6	    4.9	  101.2	  35.28	  36.89	  51.34	  -0.77	   0.00	--------	-1	0.00	*
_2:105418	  365.0	   97.6	    3.7	   91.7	  35.20	  36.80	 101.98	  -0.71	   0.62	--------	-1	0.00	*
_9:778473	  304.0	   66.5	    4.6	   84.7	  35.16	  36.75	  75.10	  -1.05	   0.00	--------	-1	0.00	*
_10:287766	  330.0	   79.8	    4.1	  100.5	  35.14	  36.72	  72.38	  -0.58	   0.39	--------	-1	0.00	*
